,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
740,740,740,2015,King of Thieves,['Evan Currie'],Science Fiction,0,3,8,66,115,108,4.056666666666667,4.2,70989.0,3195.0,https://www.goodreads.com/book/show/23431348-king-of-thieves?from_choice=true,245.0,English,,,,
741,741,741,2015,BrainWeb,['Douglas E. Richards'],Science Fiction,0,9,21,43,110,116,4.013377926421405,3.99,74384.0,5104.0,https://www.goodreads.com/book/show/24911173-brainweb?from_choice=true,294.0,English,,,,
742,742,742,2015,The Dark Forest,"['Liu Cixin', 'Joel Martinsen']",Science Fiction,0,1,2,29,84,184,4.493333333333333,4.2,211640.0,22175.0,https://www.goodreads.com/book/show/23168817-the-dark-forest?from_choice=true,112.0,English,,,,
796,796,796,2015,Yield the Night,['Annette Marie'],Fantasy,0,2,1,31,95,169,4.4362416107382545,4.33,78973.0,7235.0,https://www.goodreads.com/book/show/24435364-yield-the-night?from_choice=true,249.0,English,,,,
808,808,808,2015,The Fifth Season,['N.K. Jemisin'],Fantasy,0,3,5,24,72,194,4.506711409395972,4.18,350231.0,38158.0,https://www.goodreads.com/book/show/19161852-the-fifth-season?from_choice=true,119.0,English,,,,
821,821,821,2015,Marrow,['Tarryn Fisher'],Mystery & Thriller,0,0,8,50,107,116,4.177935943060498,4.09,333713.0,46414.0,https://www.goodreads.com/book/show/25379213-marrow?from_choice=true,229.0,English,,,,
849,849,849,2015,Three Simple Rules,['Nikki Sloane'],Debut Goodreads Author,0,0,7,37,120,134,4.278523489932886,4.1,28593.0,4695.0,https://www.goodreads.com/book/show/23016075-three-simple-rules?from_choice=true,309.0,English,,,,
901,901,901,2012,"Avatar: The Last Airbender: The Promise, Part 1","['Gene Luen Yang', 'Bryan Konietzko', 'Michael Dante DiMartino', 'Gurihiru']",Graphic Novels & Comics,0,5,13,52,111,117,4.080536912751678,4.07,260486.0,21703.0,https://www.goodreads.com/book/show/12413836-avatar?from_choice=true,315.0,English,,,,
905,905,905,2012,"Scalped, Vol. 9: Knuckle Up","['Jason Aaron', 'R.M. Guéra', 'Igor Kordey', 'Timothy Truman', 'Jill Thompson', 'Jordi Bernet', 'Denys Cowan', 'Dean Haspiel']",Graphic Novels & Comics,0,0,1,12,65,98,4.477272727272728,4.0,218803.0,18362.0,https://www.goodreads.com/book/show/13228306-scalped-vol-9?from_choice=true,127.0,English,,,,
906,906,906,2012,Chopsticks,"['Jessica Anthony', 'Rodrigo Corral']",Graphic Novels & Comics,0,8,26,71,120,68,3.7303754266211606,3.68,28260.0,2158.0,https://www.goodreads.com/book/show/10710392-chopsticks?from_choice=true,307.0,English,,,,
909,909,909,2012,The Infernal Devices: Clockwork Angel,"['Cassandra Clare', 'Hye-Kyung Baek', 'Hyekyung Baek']",Graphic Novels & Comics,0,9,11,42,81,148,4.195876288659794,4.26,22719.0,1629.0,https://www.goodreads.com/book/show/13226173-the-infernal-devices?from_choice=true,36.0,English,,,,
910,910,910,2012,Clockworks,"['Joe Hill', 'Gabriel Rodríguez']",Graphic Novels & Comics,0,0,4,22,101,202,4.522796352583587,4.03,659090.0,59783.0,https://www.goodreads.com/book/show/13490570-clockworks?from_choice=true,,,,,,
912,912,912,2012,Friends With Boys,['Faith Erin Hicks'],Graphic Novels & Comics,0,2,11,69,137,79,3.9395973154362416,3.99,93141.0,12326.0,https://www.goodreads.com/book/show/11389398-friends-with-boys?from_choice=true,281.0,English,,,,
913,913,913,2012,Fever Moon: The Fear Dorcha,"['David    Lawrence', 'Karen Marie Moning', 'Al Rio', 'Cliff Richards']",Graphic Novels & Comics,0,3,11,64,122,94,3.9965986394557818,4.24,902973.0,56106.0,https://www.goodreads.com/book/show/10630620-fever-moon?from_choice=true,148.0,English,,,,
930,930,930,2012,Mrs. Kennedy and Me: An Intimate Memoir,"['Clint Hill', 'Lisa McCubbin']",Memoir & Autobiography,0,0,7,44,126,122,4.214046822742476,4.21,23335.0,2891.0,https://www.goodreads.com/book/show/13230263-mrs-kennedy-and-me?from_choice=true,246.0,English,,,,
969,969,969,2012,Seduction and Snacks,['Tara Sivec'],Romance,0,8,11,25,85,166,4.322033898305085,4.14,221195.0,25873.0,https://www.goodreads.com/book/show/15704001-seduction-and-snacks?from_choice=true,177.0,English,,,,
990,990,990,2012,Alien vs. Predator,['Michael  Robbins'],Poetry,0,9,10,18,41,33,3.711711711711712,3.52,1539.0,182.0,https://www.goodreads.com/book/show/11737010-alien-vs-predator?from_choice=true,253.0,English,,,,
998,998,998,2012,The Unwords,['Non Nomen'],Poetry,0,0,6,9,20,42,4.2727272727272725,3.72,282.0,46.0,https://www.goodreads.com/book/show/13508406-the-unwords?from_choice=true,271.0,English,,,,
