,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daystocom,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
978,978,978,2015,Nemesis Games,['James S.A. Corey'],Science Fiction,0,0.0033333333333333327,0.006666666666666667,0.10333333333333332,0.4066666666666667,0.48,4.3533333333333335,4.24,533078.0,33985.0,https://www.goodreads.com/book/show/25400043-nemesis-games?from_choice=true,180.0,0356504220,0.0,inf,inf,0.0
979,979,979,2015,Angles of Attack,['Marko Kloos'],Science Fiction,0,0.0,0.03,0.23,0.49,0.25,3.96,4.11,77265.0,4197.0,https://www.goodreads.com/book/show/23470865-angles-of-attack?from_choice=true,224.0,,inf,inf,inf,0
980,980,980,2015,Warship,['Joshua Dalzelle'],Science Fiction,0,0.006666666666666667,0.03666666666666667,0.17333333333333334,0.44333333333333336,0.34,4.073333333333333,4.22,55616.0,2034.0,https://www.goodreads.com/book/show/24876178-warship?from_choice=true,319.0,1507587317,0.0,inf,inf,0.0
981,981,981,2015,King of Thieves,['Evan Currie'],Science Fiction,0,0.01,0.02666666666666667,0.22,0.38333333333333336,0.36,4.056666666666667,4.2,70989.0,3195.0,https://www.goodreads.com/book/show/23431348-king-of-thieves?from_choice=true,245.0,English,inf,inf,inf,0
982,982,982,2015,BrainWeb,['Douglas E. Richards'],Science Fiction,0,0.030100334448160536,0.07023411371237458,0.14381270903010032,0.3678929765886288,0.3879598662207358,4.013377926421405,3.99,74384.0,5104.0,https://www.goodreads.com/book/show/24911173-brainweb?from_choice=true,294.0,English,inf,inf,inf,0
983,983,983,2015,The Dark Forest,"['Liu Cixin', 'Joel Martinsen']",Science Fiction,0,0.0033333333333333327,0.006666666666666667,0.09666666666666666,0.28,0.6133333333333333,4.493333333333333,4.2,211640.0,22175.0,https://www.goodreads.com/book/show/23168817-the-dark-forest?from_choice=true,112.0,English,inf,inf,inf,0
984,984,984,2015,The Fold,['Peter Clines'],Science Fiction,0,0.01,0.02333333333333333,0.19666666666666666,0.4633333333333333,0.30666666666666664,4.033333333333333,3.92,99897.0,10404.0,https://www.goodreads.com/book/show/23164927-the-fold?from_choice=true,182.0,0553418297,0.0,inf,inf,0.0
985,985,985,2015,Star Wars: Aftermath,['Chuck Wendig'],Science Fiction,0,0.07718120805369127,0.17449664429530198,0.3825503355704698,0.27181208053691275,0.09395973154362416,3.1308724832214767,3.72,100027.0,14637.0,https://www.goodreads.com/book/show/25134015-star-wars?from_choice=true,88.0,034551162X,7.0,1.326190476190476,4.0,3.0
986,986,986,2015,Armada,['Ernest Cline'],Science Fiction,0,0.02364864864864865,0.15202702702702706,0.3108108108108108,0.3716216216216216,0.14189189189189189,3.456081081081081,4.19,855054.0,95417.0,https://www.goodreads.com/book/show/16278318-armada?from_choice=true,140.0,0804137250,7.0,0.7275793650793652,4.0,3.0
987,987,987,2015,Seveneves,['Neal Stephenson'],Science Fiction,0,0.010101010101010102,0.04040404040404042,0.18855218855218853,0.4208754208754209,0.3400673400673401,4.040404040404041,4.05,757057.0,47904.0,https://www.goodreads.com/book/show/22826126-seveneves?from_choice=true,196.0,0062190377,8.0,0.7191468253968254,3.0,3.0
988,988,988,2015,The Water Knife,['Paolo Bacigalupi'],Science Fiction,0,0.013513513513513514,0.040540540540540536,0.20945945945945946,0.4932432432432433,0.2432432432432433,3.9121621621621614,3.78,169161.0,19733.0,https://www.goodreads.com/book/show/23209924-the-water-knife?from_choice=true,189.0,0385352875,2.0,17.5,16.0,1.0
989,989,989,2015,The Heart Goes Last,['Margaret Atwood'],Science Fiction,0,0.013651877133105802,0.13651877133105805,0.3583617747440273,0.3651877133105802,0.12627986348122866,3.4539249146757682,4.02,2315094.0,147297.0,https://www.goodreads.com/book/show/24388326-the-heart-goes-last?from_choice=true,63.0,0385540353,1.0,15.0,15.0,1.0
990,990,990,2015,Golden Son,['Pierce Brown'],Science Fiction,1,0.003745318352059925,0.011235955056179777,0.0449438202247191,0.2397003745318352,0.700374531835206,4.621722846441949,4.36,499659.0,49590.0,https://www.goodreads.com/book/show/20697410-golden-son?from_choice=true,329.0,0345539818,4.0,4.166666666666667,6.0,3.0
991,991,991,2015,Aurora,['Kim Stanley Robinson'],Science Fiction,0,0.02348993288590604,0.10067114093959732,0.2416107382550336,0.3557046979865772,0.2785234899328859,3.76510067114094,3.78,209884.0,16282.0,https://www.goodreads.com/book/show/23197269-aurora?from_choice=true,147.0,0316098108,0.0,inf,inf,0.0
992,992,992,2015,Apex,['Ramez Naam'],Science Fiction,0,0.0,0.026755852842809364,0.14381270903010032,0.3979933110367893,0.431438127090301,4.234113712374582,4.08,32815.0,2947.0,https://www.goodreads.com/book/show/20424928-apex?from_choice=true,210.0,0857664018,0.0,inf,inf,0.0
993,993,993,2015,Beacon 23,['Hugh Howey'],Science Fiction,0,0.0,0.02333333333333333,0.16666666666666666,0.4933333333333334,0.31666666666666665,4.1033333333333335,4.15,553761.0,38971.0,https://www.goodreads.com/book/show/26771521-beacon-23?from_choice=true,111.0,1516865871,0.0,inf,inf,0.0
994,994,994,2015,Ancillary Mercy,['Ann Leckie'],Science Fiction,0,0.0033333333333333327,0.02333333333333333,0.10666666666666667,0.4266666666666667,0.44,4.276666666666666,4.02,159872.0,17333.0,https://www.goodreads.com/book/show/24819470-ancillary-mercy?from_choice=true,56.0,0316246689,1.0,10.0,10.0,1.0
995,995,995,2015,Welcome to Night Vale,"['Joseph Fink', 'Jeffrey Cranor']",Science Fiction,0,0.020477815699658702,0.040955631399317405,0.1945392491467577,0.36860068259385664,0.3754266211604095,4.037542662116041,3.92,45320.0,6663.0,https://www.goodreads.com/book/show/23129410-welcome-to-night-vale?from_choice=true,42.0,0062351427,4.0,3.625,4.0,2.0
996,996,996,2015,Serafina and the Black Cloak,['Robert  Beatty'],Middle Grade & Children's,0,0.013513513513513514,0.040540540540540536,0.17905405405405406,0.34459459459459457,0.4222972972972973,4.121621621621622,4.07,37637.0,6121.0,https://www.goodreads.com/book/show/23507745-serafina-and-the-black-cloak?from_choice=true,140.0,1484709012,0.0,inf,inf,0.0
997,997,997,2015,Beyond the Kingdoms,"['Chris Colfer', 'Brandon Dorman']",Middle Grade & Children's,0,0.010204081632653059,0.010204081632653059,0.09863945578231292,0.2380952380952381,0.6428571428571429,4.4931972789115635,4.34,221312.0,18532.0,https://www.goodreads.com/book/show/23657459-beyond-the-kingdoms?from_choice=true,147.0,0316406899,0.0,inf,inf,0.0
998,998,998,2015,George,['Alex Gino'],Middle Grade & Children's,0,0.010135135135135136,0.02364864864864865,0.17567567567567569,0.39864864864864863,0.3918918918918919,4.138513513513513,4.04,27628.0,5708.0,https://www.goodreads.com/book/show/24612624-george?from_choice=true,98.0,0545812542,0.0,inf,inf,0.0
999,999,999,2015,The Isle of the Lost,['Melissa de la Cruz'],Middle Grade & Children's,0,0.030405405405405407,0.07432432432432433,0.3716216216216216,0.3277027027027027,0.19594594594594594,3.58445945945946,3.82,616419.0,33563.0,https://www.goodreads.com/book/show/23197620-the-isle-of-the-lost?from_choice=true,210.0,1484720970,0.0,inf,inf,0.0
1000,1000,1000,2015,The Sword of Summer,['Rick Riordan'],Middle Grade & Children's,1,0.0,0.007299270072992701,0.145985401459854,0.35036496350364965,0.4963503649635037,4.335766423357664,4.32,7600164.0,302504.0,https://www.goodreads.com/book/show/15724396-the-sword-of-summer?from_choice=true,56.0,1423160916,0.0,inf,inf,0.0
1001,1001,1001,2015,The Last Ever After,['Soman Chainani'],Middle Grade & Children's,0,0.01694915254237288,0.02711864406779661,0.11186440677966104,0.2406779661016949,0.6033898305084746,4.386440677966101,4.08,114253.0,13943.0,https://www.goodreads.com/book/show/18004320-the-last-ever-after?from_choice=true,133.0,0062104950,3.0,3.1666666666666665,3.0,1.0
1002,1002,1002,2015,A Handful of Stars,['Cynthia Lord'],Middle Grade & Children's,0,0.006711409395973154,0.0,0.10067114093959732,0.4697986577181208,0.4228187919463087,4.302013422818792,3.97,72611.0,7374.0,https://www.goodreads.com/book/show/23399197-a-handful-of-stars?from_choice=true,189.0,0545700272,0.0,inf,inf,0.0
1003,1003,1003,2015,The War That Saved My Life,['Kimberly Brubaker Bradley'],Middle Grade & Children's,0,0.0033783783783783786,0.010135135135135136,0.060810810810810814,0.28378378378378377,0.6418918918918919,4.5506756756756745,4.42,74630.0,11982.0,https://www.goodreads.com/book/show/20912424-the-war-that-saved-my-life?from_choice=true,327.0,0803740816,0.0,inf,inf,0.0
